word,categories
aok,"['affect', 'posemo', 'assent']"
apart,"['space', 'relativ']"
apartment,"['leisure', 'home']"
apath,"['affect', 'negemo']"
apolog,['social']
appall,"['affect', 'negemo']"
apparent,"['cogmech', 'certain']"
apparently,"['funct', 'adverb', 'cogmech', 'tentat']"
appear,"['verb', 'present', 'cogmech', 'tentat', 'motion', 'relativ']"
appeared,"['verb', 'past', 'cogmech', 'tentat', 'motion', 'relativ']"
appearing,"['cogmech', 'tentat', 'motion', 'relativ']"
appears,"['verb', 'present', 'cogmech', 'tentat', 'motion', 'relativ']"
appendic,"['bio', 'health']"
appendix,"['bio', 'body']"
appeti,"['bio', 'ingest']"
applicant,['work']
applicat,['work']
appreciat,"['affect', 'posemo', 'cogmech', 'insight']"
apprehens,"['affect', 'negemo', 'anx']"
apprentic,['work']
approach,"['motion', 'relativ']"
approv,['achieve']
approximat,"['cogmech', 'tentat']"
april,"['time', 'relativ']"
arbitrar,"['cogmech', 'tentat']"
arch,"['bio', 'body']"
are,"['verb', 'funct', 'auxverb', 'present']"
area,"['space', 'relativ']"
are,"['verb', 'funct', 'auxverb', 'present', 'negate']"
arent,"['verb', 'funct', 'auxverb', 'present', 'negate']"
argh,"['affect', 'negemo', 'anger']"
argu,"['social', 'affect', 'negemo', 'anger']"
arm,"['bio', 'body']"
armies,['social']
armpit,"['bio', 'body']"
arms,"['bio', 'body']"
army,['social']
aroma,['percept']
around,"['funct', 'adverb', 'preps', 'cogmech', 'incl', 'space', 'relativ']"
arous,"['bio', 'body', 'sexual']"
arrival,"['motion', 'relativ']"
arrive,"['verb', 'present', 'motion', 'relativ']"
arrived,"['verb', 'past', 'motion', 'relativ']"
arrives,"['verb', 'present', 'motion', 'relativ']"
arriving,"['motion', 'relativ']"
arrogan,"['affect', 'negemo', 'anger']"
arse,"['bio', 'body', 'swear']"
arsehole,['swear']
arses,"['bio', 'body', 'swear']"
art,['leisure']
arter,"['bio', 'body']"
arthr,"['bio', 'health']"
artist,['leisure']
arts,['leisure']
as,"['funct', 'preps', 'conj']"
asham,"['affect', 'negemo', 'anx']"
ask,"['verb', 'present', 'social']"
asked,"['verb', 'past', 'social']"
asking,['social']
asks,"['verb', 'present', 'social']"
asleep,"['bio', 'body']"
aspirin,"['bio', 'health']"
ass,"['bio', 'body', 'sexual', 'swear']"
assault,"['affect', 'negemo', 'anger']"
assembl,['social']
asses,"['bio', 'body', 'sexual', 'swear']"
asshole,"['affect', 'negemo', 'anger', 'swear']"
assign,['work']
assistan,['work']
associat,['work']
assum,"['cogmech', 'insight', 'tentat']"
assur,"['affect', 'posemo', 'cogmech', 'certain']"
asthma,"['bio', 'health']"
at,"['funct', 'preps', 'space', 'relativ']"
ate,"['verb', 'past', 'bio', 'ingest']"
athletic,['leisure']
atho,"['funct', 'conj']"
atm,['money']
atms,['money']
atop,"['funct', 'preps', 'space', 'relativ']"
attachment,"['affect', 'posemo']"
attack,"['affect', 'negemo', 'anger']"
attain,['achieve']
attempt,['achieve']
attend,"['motion', 'relativ']"
attended,"['motion', 'relativ']"
attending,"['motion', 'relativ']"
attends,"['motion', 'relativ']"
attent,"['cogmech', 'insight']"
attract,"['affect', 'posemo']"
attribut,"['cogmech', 'cause']"
auction,['money']
audibl,"['percept', 'hear']"
audio,"['percept', 'hear']"
audit,['money']
audited,['money']
auditing,['money']
auditor,['money']
auditorium,['work']
auditors,['money']
audits,['money']
august,"['time', 'relativ']"
aunt,"['social', 'family']"
authorit,['achieve']
autops,['death']
autumn,"['time', 'relativ']"
aversi,"['affect', 'negemo', 'anx']"
avert,"['cogmech', 'inhib']"
avoid,"['affect', 'negemo', 'anx', 'cogmech', 'inhib']"
aw,['assent']
award,"['affect', 'posemo', 'work', 'achieve']"
aware,"['cogmech', 'insight']"
away,"['funct', 'preps', 'space', 'relativ']"
awesome,"['affect', 'posemo', 'assent']"
awful,"['affect', 'negemo']"
awhile,"['time', 'relativ']"
awkward,"['affect', 'negemo', 'anx']"
babe,"['social', 'humans']"
babies,"['social', 'humans']"
baby,"['social', 'humans']"
back,"['funct', 'adverb', 'time', 'relativ']"
backward,"['space', 'relativ']"
backyard,['home']
bad,"['affect', 'negemo']"
bake,"['bio', 'ingest', 'home']"
baking,"['bio', 'ingest', 'home']"
balcon,['home']
bald,"['bio', 'body']"
ball,['leisure']
ballet,['leisure']
bambino,"['social', 'humans']"
ban,"['cogmech', 'inhib']"
band,"['social', 'leisure']"
bandage,"['bio', 'health']"
bandaid,"['bio', 'health']"
bands,"['social', 'leisure']"
bank,['money']
banned,"['cogmech', 'inhib']"
banning,"['cogmech', 'inhib']"
bans,"['cogmech', 'inhib']"
baptis,['relig']
baptiz,['relig']
bar,"['bio', 'ingest', 'leisure']"
barely,"['cogmech', 'tentat']"
bargain,['money']
barrier,"['cogmech', 'inhib']"
bars,"['bio', 'ingest', 'leisure']"
baseball,['leisure']
based,"['cogmech', 'cause']"
bases,"['cogmech', 'cause']"
bashful,"['affect', 'negemo']"
basically,"['funct', 'adverb']"
basis,"['cogmech', 'cause']"
basketball,['leisure']
bastard,"['affect', 'negemo', 'anger', 'swear']"
bath,"['leisure', 'home']"
battl,"['affect', 'negemo', 'anger']"
be,"['verb', 'funct', 'auxverb']"
beach,['leisure']
beat,['achieve']
beaten,"['affect', 'negemo', 'anger', 'work', 'achieve']"
beaut,"['affect', 'posemo', 'percept', 'see']"
became,"['verb', 'funct', 'auxverb', 'past', 'cogmech', 'insight']"
because,"['funct', 'conj', 'cogmech', 'cause']"
become,"['verb', 'funct', 'auxverb', 'present', 'cogmech', 'insight']"
becomes,"['verb', 'funct', 'auxverb', 'present', 'cogmech', 'insight']"
becoming,"['verb', 'funct', 'auxverb', 'cogmech', 'insight']"
bed,['home']
bedding,['home']
bedroom,['home']
beds,['home']
been,"['verb', 'funct', 'auxverb', 'past']"
beer,"['bio', 'ingest', 'leisure']"
before,"['funct', 'preps', 'time', 'relativ']"
began,"['verb', 'past', 'time', 'relativ']"
beggar,['money']
begging,['money']
begin,"['verb', 'present', 'time', 'relativ']"
beginn,"['time', 'relativ']"
begins,"['verb', 'present', 'time', 'relativ']"
begun,"['time', 'relativ']"
behavio,"['relativ', 'motion']"
behind,"['funct', 'preps']"
being,"['verb', 'funct', 'auxverb']"
belief,"['cogmech', 'insight', 'relig']"
believe,"['verb', 'present', 'cogmech', 'insight']"
believed,"['verb', 'past', 'cogmech', 'insight']"
believes,"['verb', 'present', 'cogmech', 'insight']"
believing,"['cogmech', 'insight']"
bellies,"['bio', 'body']"
belly,"['bio', 'body']"
beloved,"['affect', 'posemo']"
below,"['funct', 'preps', 'space', 'relativ']"
bend,"['space', 'relativ']"
bending,"['space', 'relativ']"
bends,"['space', 'relativ']"
beneath,"['funct', 'preps', 'space', 'relativ']"
benefic,"['affect', 'posemo']"
benefit,"['affect', 'posemo']"
benefits,"['affect', 'posemo', 'work']"
benefitt,"['affect', 'posemo']"
benevolen,"['affect', 'posemo']"
benign,"['affect', 'posemo']"
bent,"['space', 'relativ']"
bereave,['death']
beside,"['funct', 'preps', 'space', 'relativ']"
besides,"['funct', 'preps', 'quant', 'cogmech', 'discrep']"
