High Extraversion,Low Extraversion,High Agreeableness,Low Agreeableness,High Conscientiousness,Low Conscientiousness,High Emotional Stability,Low Emotional Stability,High Openness,Low Openness
ladies,sort of,so excited !,*,this semester,>,champs,for at least,you know,goin to
ready to,account,beautiful day !,motherfucker,busy day,goddamn,... smh,pathetic,listening,happy new
love my life,. 93,isaiah,cum,classes,:p,you lord for,die,i'll be,:) x
the beach,to kill,so thankful,death,forward to,computer,wit,headache,where,1
this weekend,>:d,of christ,assholes,is ready for,zombie,thanksgiving,dying,listening to,pag
love u,pages,at church,shut the fuck,! thank you,weird,the gym,hate my life,quite,you are proud
guys,>:,an amazing day,bastards,ready for a,what the fuck,dat,worried,completely,taong
! cant wait,i don't want,faith,aint,thank you,dunno,headed to,pills,mind,r
the best,related to,had an amazing,drink,the semester,>:d,nigga,mum,die,are proud
a great night,gaming,loving,porn,ready to go,film,headed,shut,i can't,wait till
had an amazing,didn't,much fun,rape,then off,annoying,party,so tired,",",! !
great weekend,. 93 %,tomorrow,to piss,time with my,theres,ready for,so bored,two,:( (
gym,i've,grateful,damned,studying,on facebook,lets get,depressing,like a,game tomorrow
but im,‐ ^,awesome day,haters,off to work,the internet,in the lord,your status for,;,nman
with my girls,managed to,hope everyone,retarded,ready to get,black,tournament,a bit,sea,2 more
pool,read,so much fun,a bitch .,more days,unicorn,camp,. put this,damn,muna
last night,ni,thank,ugly,with the family,v =,beautiful day !,internet,blood,haha
ill,wikipedia,joy,piss me,strength,damn,this weekend !,>.<,which,your status and
